product_id,category,family_id,customer_name,short_description,lifecycle_status,skill_levels
s10-squat-stand,rack,s-series,S10 Open Squat Stand,Compact barbell station that preserves open floor space.,active,"[""beginner"",""some_experience"",""experienced""]"
s20-squat-stand,rack,s-series,S20 Stable Squat Stand,A heavier open stand with spotter-arm support.,active,"[""beginner"",""some_experience"",""experienced""]"
h30-half-rack,rack,h-series,H30 Half Rack,A versatile half rack with plate storage and a modest footprint.,active,"[""beginner"",""some_experience"",""experienced""]"
h40-half-rack,rack,h-series,H40 Half Rack Pro,Deeper working area and cable-ready bracing for progressive strength training.,active,"[""beginner"",""some_experience"",""experienced""]"
p40-power-rack,rack,p-series,P40 Compact Power Rack,Four-post rack for compact rooms where enclosed lifting matters.,active,"[""beginner"",""some_experience"",""experienced""]"
p50-power-rack,rack,p-series,P50 Power Rack,"Balanced depth, attachment coverage and barbell training space.",active,"[""beginner"",""some_experience"",""experienced""]"
p60-power-rack,rack,p-series,P60 Power Rack Studio,High-capacity six-post rack with integrated storage for larger spaces.,active,"[""beginner"",""some_experience"",""experienced""]"
f20-folding-rack,rack,f-series,F20 Folding Wall Rack,Wall-mounted rack that folds to restore floor area between sessions.,active,"[""beginner"",""some_experience"",""experienced""]"
f30-folding-rack,rack,f-series,F30 Folding Rack Pro,A deeper folding rack for pull-ups and progressive barbell work.,active,"[""beginner"",""some_experience"",""experienced""]"
a10-dip-attachment,attachment,attachments-75,A10 Dip Station,Removable parallel handles for supported dip training.,active,"[""beginner"",""some_experience"",""experienced""]"
a12-spotter-arms,attachment,attachments-75,A12 Spotter Arms,Pair of rack-mounted bar support arms; use current product instructions.,active,"[""beginner"",""some_experience"",""experienced""]"
a14-safety-straps,attachment,attachments-75,A14 Safety Straps,Adjustable bar support straps for compatible four-post racks.,active,"[""beginner"",""some_experience"",""experienced""]"
a16-landmine,attachment,attachments-base,A16 Landmine Pivot,"Barbell pivot for rows, presses and rotational work.",active,"[""beginner"",""some_experience"",""experienced""]"
a18-plate-storage,attachment,attachments-storage,A18 Plate Storage Pair,Two storage pegs for compatible rack uprights.,active,"[""beginner"",""some_experience"",""experienced""]"
a20-cable,attachment,attachments-cable,A20 Compact Cable Kit,Compact high/low cable resistance for compatible racks.,active,"[""beginner"",""some_experience"",""experienced""]"
a22-cable,attachment,attachments-cable,A22 Dual Cable Pro,Dual adjustable cable columns for the Studio rack generation.,active,"[""beginner"",""some_experience"",""experienced""]"
a24-jammer-arms,attachment,attachments-75,A24 Jammer Arms,Lever arms for pressing and rowing on approved rack variants.,active,"[""beginner"",""some_experience"",""experienced""]"
a26-pullup-multi,attachment,attachments-crossmember,A26 Multi-Grip Pull-up Bar,Neutral and angled pull-up grips for compatible crossmembers.,active,"[""beginner"",""some_experience"",""experienced""]"
a28-stabiliser,attachment,attachments-base,A28 Rear Stabiliser,Required bracing for specified cable configurations.,active,"[""beginner"",""some_experience"",""experienced""]"
a30-interface-adapter,attachment,attachments-adapter,A30 Interface Adapter,Named adapter for specifically approved Northstar pairings only.,active,"[""beginner"",""some_experience"",""experienced""]"
b10-flat-bench,bench,bench,B10 Flat Bench,Stable flat bench for presses and dumbbell training.,active,"[""beginner"",""some_experience"",""experienced""]"
b20-adjustable-bench,bench,bench,B20 Adjustable Bench,Versatile flat-to-incline bench for a compact strength plan.,active,"[""beginner"",""some_experience"",""experienced""]"
b30-adjustable-bench,bench,bench,B30 Adjustable Bench Pro,Wide adjustment range and transport handle for high-volume training.,active,"[""beginner"",""some_experience"",""experienced""]"
c10-rower,cardio,cardio,C10 Air Rower,Full-body rowing machine with a larger use envelope than stored footprint.,active,"[""beginner"",""some_experience"",""experienced""]"
c20-bike,cardio,cardio,C20 Compact Bike,Low-footprint cycling option for rooms that cannot support a rower envelope.,active,"[""beginner"",""some_experience"",""experienced""]"
c30-stepper,cardio,cardio,C30 Folding Stepper,Compact conditioning machine that stores upright between sessions.,active,"[""beginner"",""some_experience"",""experienced""]"
w10-barbell-general,barbell,barbell,W10 General Barbell,General-purpose Olympic-format bar for the governed rack range.,active,"[""beginner"",""some_experience"",""experienced""]"
w20-barbell-power,barbell,barbell,W20 Power Bar,Stiffer power-oriented bar for experienced strength plans.,active,"[""some_experience"",""experienced""]"
p100-plate-pack,plates,plates,100 kg Plate Pack,Progressive plate package for entry strength plans.,active,"[""beginner"",""some_experience"",""experienced""]"
p150-plate-pack,plates,plates,150 kg Plate Pack,Broader progression package for regular barbell training.,active,"[""beginner"",""some_experience"",""experienced""]"
p200-plate-pack,plates,plates,200 kg Plate Pack,Higher-capacity package for experienced strength plans.,active,"[""some_experience"",""experienced""]"
d10-adjustable-dumbbells,dumbbells,dumbbells,D10 Adjustable Dumbbells,Space-efficient pair for general strength and hypertrophy.,active,"[""beginner"",""some_experience"",""experienced""]"
d20-fixed-dumbbell-set,dumbbells,dumbbells,D20 Fixed Dumbbell Set,Quick-access fixed dumbbells with dedicated storage footprint.,active,"[""beginner"",""some_experience"",""experienced""]"
k10-kettlebell-set,kettlebell,compact-strength,K10 Kettlebell Set,Compact strength and conditioning set.,active,"[""beginner"",""some_experience"",""experienced""]"
x10-band-kit,bands,compact-strength,X10 Resistance Band Kit,"Portable resistance for warm-ups, assistance and accessory work.",active,"[""beginner"",""some_experience"",""experienced""]"
m10-training-mat,mat,floor-accessories,M10 Training Mat,Personal exercise surface for mobility and floor work.,active,"[""beginner"",""some_experience"",""experienced""]"
f10-flooring-general,flooring,flooring,F10 General Flooring Pack,"General rubber floor coverage; prototype planning assumption, not structural assessment.",active,"[""beginner"",""some_experience"",""experienced""]"
f20-flooring-impact,flooring,flooring,F20 Impact Flooring Pack,Thicker rubber floor coverage for impact-sensitive plans; not a floor certification.,active,"[""beginner"",""some_experience"",""experienced""]"
st10-storage-vertical,storage,storage,ST10 Vertical Storage,Small-footprint storage for plates and compact accessories.,active,"[""beginner"",""some_experience"",""experienced""]"
st20-storage-horizontal,storage,storage,ST20 Modular Storage,"Accessible storage for dumbbells, kettlebells and plates.",active,"[""beginner"",""some_experience"",""experienced""]"
