evidence_id,source_id,target_type,target_id,field_or_relation,status,confidence,reviewer
evidence-s10-squat-stand-entry,source-northstar-prototype,variant,s10-squat-stand-entry,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-s20-squat-stand-standard,source-northstar-prototype,variant,s20-squat-stand-standard,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-h30-half-rack-entry,source-northstar-prototype,variant,h30-half-rack-entry,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-h40-half-rack-pro,source-northstar-prototype,variant,h40-half-rack-pro,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-p40-power-rack-compact,source-northstar-prototype,variant,p40-power-rack-compact,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-p50-power-rack-standard,source-northstar-prototype,variant,p50-power-rack-standard,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-p60-power-rack-premium,source-northstar-prototype,variant,p60-power-rack-premium,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-f20-folding-rack-compact,source-northstar-prototype,variant,f20-folding-rack-compact,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-f30-folding-rack-pro,source-northstar-prototype,variant,f30-folding-rack-pro,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a10-dip-attachment,source-northstar-prototype,variant,a10-dip-attachment,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a08-j-hooks,source-northstar-prototype,variant,a08-j-hooks,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a32-gym-rings,source-northstar-prototype,variant,a32-gym-rings,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a12-spotter-arms,source-northstar-prototype,variant,a12-spotter-arms,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a14-safety-straps,source-northstar-prototype,variant,a14-safety-straps,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a16-landmine,source-northstar-prototype,variant,a16-landmine,customer_critical_specification,verified,high,Northstar research-led prototype
evidence-a18-plate-storage,source-northstar-prototype,variant,a18-plate-storage,customer_critical_specification,verified,high,Northstar research-led prototype
