clearance_id,variant_id,clearance_type,operating_state,shape_type,width_mm,length_mm,max_y_mm,hardness,overlap_policy,source_type,policy_version,label
clearance-s10-squat-stand-entry,s10-squat-stand-entry,operating_envelope,active,rectangle,2200,2200,2050,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-s20-squat-stand-standard,s20-squat-stand-standard,operating_envelope,active,rectangle,2300,2300,2150,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-h30-half-rack-entry,h30-half-rack-entry,operating_envelope,active,rectangle,2400,2400,2200,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-h40-half-rack-pro,h40-half-rack-pro,operating_envelope,active,rectangle,2450,2600,2300,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-p40-power-rack-compact,p40-power-rack-compact,operating_envelope,active,rectangle,2420,2520,2080,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-p50-power-rack-standard,p50-power-rack-standard,operating_envelope,active,rectangle,2480,2820,2280,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-p60-power-rack-premium,p60-power-rack-premium,operating_envelope,active,rectangle,2600,3250,2380,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-f20-folding-rack-compact,f20-folding-rack-compact,operating_envelope,active,rectangle,2420,2250,2180,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-f30-folding-rack-pro,f30-folding-rack-pro,operating_envelope,active,rectangle,2480,2450,2300,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a10-dip-attachment,a10-dip-attachment,operating_envelope,active,rectangle,650,520,250,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a08-j-hooks,a08-j-hooks,operating_envelope,active,rectangle,120,180,220,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a32-gym-rings,a32-gym-rings,operating_envelope,active,rectangle,1800,1800,2300,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a12-spotter-arms,a12-spotter-arms,operating_envelope,active,rectangle,160,650,220,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a14-safety-straps,a14-safety-straps,operating_envelope,active,rectangle,80,900,80,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a16-landmine,a16-landmine,operating_envelope,active,rectangle,1500,1800,160,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a18-plate-storage,a18-plate-storage,operating_envelope,active,rectangle,420,160,160,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a20-cable-compact,a20-cable-compact,operating_envelope,active,rectangle,1800,1800,2050,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a22-cable-pro,a22-cable-pro,operating_envelope,active,rectangle,2100,1900,2200,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a24-jammer-arms,a24-jammer-arms,operating_envelope,active,rectangle,2100,2300,220,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a26-pullup-multi,a26-pullup-multi,operating_envelope,active,rectangle,1100,320,2550,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a28-stabiliser,a28-stabiliser,operating_envelope,active,rectangle,1320,280,180,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-a30-interface-adapter,a30-interface-adapter,operating_envelope,active,rectangle,130,130,240,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-b10-flat-bench-entry,b10-flat-bench-entry,operating_envelope,active,rectangle,1200,1900,430,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-b20-adjustable-bench-standard,b20-adjustable-bench-standard,operating_envelope,active,rectangle,1350,2100,1350,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-b30-adjustable-bench-premium,b30-adjustable-bench-premium,operating_envelope,active,rectangle,1400,2200,1450,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-c10-rower-standard,c10-rower-standard,operating_envelope,active,rectangle,1220,2740,1300,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-c20-bike-compact,c20-bike-compact,operating_envelope,active,rectangle,1200,1750,2000,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-c30-stepper-compact,c30-stepper-compact,operating_envelope,active,rectangle,1300,1850,2200,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-w10-barbell-general,w10-barbell-general,operating_envelope,active,rectangle,2600,900,50,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-w20-barbell-power,w20-barbell-power,operating_envelope,active,rectangle,2600,900,50,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-p100-plate-pack-starter,p100-plate-pack-starter,operating_envelope,active,rectangle,450,450,450,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-p150-plate-pack-standard,p150-plate-pack-standard,operating_envelope,active,rectangle,520,520,520,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-p200-plate-pack-heavy,p200-plate-pack-heavy,operating_envelope,active,rectangle,580,580,580,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-d10-adjustable-dumbbells,d10-adjustable-dumbbells,operating_envelope,active,rectangle,1800,1800,320,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-d20-fixed-dumbbell-set,d20-fixed-dumbbell-set,operating_envelope,active,rectangle,2100,1600,900,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-k10-kettlebell-set,k10-kettlebell-set,operating_envelope,active,rectangle,2000,2000,420,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-x10-band-kit,x10-band-kit,operating_envelope,active,rectangle,320,220,100,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-m10-training-mat,m10-training-mat,operating_envelope,active,rectangle,1000,2100,12,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-f10-flooring-general,f10-flooring-general,operating_envelope,active,rectangle,3000,2000,10,hard,no_hard_overlap,northstar_assumption,geometry-2026-08,Operating area
clearance-f20-flooring-impact,f20-flooring-impact,operating_envelope,active,rectangle,3000,2000,20,hard,no_hard_overlap,northstar_assumption,geometry-2026-08,Operating area
clearance-st10-storage-vertical,st10-storage-vertical,operating_envelope,active,rectangle,1250,1250,1350,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
clearance-st20-storage-horizontal,st20-storage-horizontal,operating_envelope,active,rectangle,1900,1400,900,hard,no_hard_overlap,governed_spec,geometry-2026-08,Operating area
